ObjID,ra,dec,g
1237666299433583980,299.99811739,-0.98275882,18.328056
1237666299433583982,299.99623133,-0.98546948,19.279238
1237666299433583985,299.99470462,-0.98500536,20.437632
1237666299433583986,299.99478683,-0.98545187,19.830143
1237666299433583987,299.99736336,-0.98429486,21.333954
1237666299433583989,299.99719327,-0.98183457,24.061127
1237666299433584061,300.00196711,-0.98459521,17.402046
1237666299433584097,300.00576174,-0.98172123,17.932634
1237666299433584098,300.00058007,-0.9807714,19.905586
1237666299433584099,300.00479638,-0.98462663,20.07918
1237666299433584102,300.00183195,-0.98117254,22.226713
1237666299433584105,300.00629329,-0.98369024,23.167381
1237666299433585271,299.98476028,-0.99782937,19.657803
1237666299433585272,299.9843679,-0.99997461,22.096329
1237666299433585273,299.98488761,-0.99709448,21.431189
1237666299433585275,299.98535643,-0.9957692,21.684641
1237666299433585284,299.98815647,-1.00800866,20.117155
1237666299433585285,299.98896294,-1.01054402,19.83461
1237666299433585286,299.98876962,-1.00987596,23.762566
1237666299433585287,299.98794322,-1.0065404,23.970238
1237666299433585299,299.99169337,-0.98607281,19.353914
1237666299433585300,299.98922447,-0.98632664,21.803017
1237666299433585301,299.9913934,-0.98494317,22.864742
1237666299433585302,299.9904059,-0.98682159,22.427864
1237666299433585355,300.00652117,-1.01320263,19.44982
1237666299433585849,300.00824299,-1.01621074,20.000721
1237666299433585850,300.00952178,-1.01455223,22.054668
1237666299433585852,300.01898388,-1.00129308,23.718197
1237666299433585962,299.98182473,-1.00102027,21.104633
1237666299433585963,299.98299192,-1.00179129,22.81661
1237666299433585981,299.98552827,-1.0055779,21.03875
1237666299433585982,299.98525319,-1.00621688,21.208546
1237666299433585983,299.98520751,-1.00424118,26.033216
1237666299433586745,299.9808132,-0.99885766,23.031055
1237666299433586750,299.9831782,-1.00792048,22.193611
1237666299433586761,299.98431098,-1.01081807,22.602798
1237666299433586768,299.98522116,-1.00249748,23.488527
1237666299433586830,300.00856236,-0.98283077,23.253622
1237666299433586847,300.01333414,-1.00845678,23.818926
1237666299433587272,299.98685121,-0.9873553,24.381773
1237666299433587306,300.00611456,-1.01661861,23.124632
1237666299433587317,300.01147557,-1.01355063,22.362982
1237666299433587318,300.01283742,-1.01313276,25.525543
1237666299433587319,300.01300848,-1.0114132,24.547464
1237666299433587322,300.01558783,-1.01113262,25.685673
1237666299433519503,299.97459407,-1.01231077,19.18539
1237666299433520240,299.97478433,-0.99497173,26.661449
1237666299433520944,299.97317538,-1.00770922,24.789478
1237666299433520945,299.97220752,-1.00347646,25.249647
1237666299433520946,299.97323131,-1.00597286,23.376234
1237666299433520959,299.97490037,-0.99213674,20.309595
1237666299433521472,299.97251672,-0.99704602,22.453115
1237666299433521473,299.97359259,-0.99760483,22.828665
1237666299433521474,299.97214883,-0.99799092,24.420795
1237666299433582883,299.9995613,-1.02142139,14.548833
1237666299433582884,300.00173052,-1.0233592,19.81739
1237666299433582885,299.99816907,-1.02679096,19.939993
1237666299433582887,299.99767871,-1.02305847,22.302649
1237666299433582888,300.00162446,-1.02120125,20.877483
1237666299433582890,300.00259529,-1.01956688,25.636292
1237666299433582893,299.99846574,-1.02467266,25.48925
1237666299433582913,300.00139097,-0.97715386,15.479761
1237666299433582914,300.00200851,-0.97475918,19.635105
1237666299433582915,299.99929837,-0.97700439,23.222277
1237666299433582916,300.00398394,-0.97668221,24.637146
1237666299433582951,300.0113182,-0.97472283,17.610243
1237666299433582952,300.01037931,-0.9746376,22.310305
1237666299433582953,300.00797616,-0.97274181,23.83507
1237666299433582955,300.00947631,-0.97377567,24.585081
1237666299433583000,300.01413955,-0.98591818,23.434965
1237666299433583063,300.01891916,-1.02005844,20.909241
1237666299433583830,299.9770541,-1.01414297,21.554361
1237666299433583840,299.97774973,-0.98485541,18.930925
1237666299433583841,299.97750575,-0.98360363,24.108875
1237666299433583850,299.9789529,-0.99424871,18.360403
1237666299433583851,299.98049505,-0.99449151,21.41894
1237666299433583852,299.97836936,-0.99527472,25.352741
1237666299433583854,299.97905455,-0.98121538,18.213186
1237666299433583891,299.98158096,-0.99037173,18.554747
1237666299433583892,299.98099875,-0.99162965,20.969189
1237666299433583918,299.98410233,-1.01323123,19.020393
1237666299433583919,299.98685402,-1.01406172,19.50359
1237666299433583920,299.98127557,-1.01277818,24.579899
1237666299433583924,299.98526162,-0.97745902,18.85956
1237666299433583925,299.9861271,-0.97879794,20.185089
1237666299433583926,299.98576481,-0.9757253,20.928108
1237666299433583927,299.98434853,-0.97656587,24.660839
1237666299433583928,299.98706296,-0.97962549,23.755217
1237666299433583961,299.99314449,-1.02097445,20.400455
1237666299433583962,299.99219864,-1.01975062,21.189772
1237666299433583963,299.99381258,-1.01857125,21.603636
1237666299433583964,299.99073906,-1.01991977,24.615225
1237666299433583967,299.99295273,-0.97858711,18.244781
1237666299433583968,299.99170123,-0.97801701,23.914623
1237666299433583971,299.99538745,-0.97540059,18.262686
1237666299433583972,299.99753912,-0.97544407,19.395216
1237666299433583973,299.99623291,-0.97179958,19.575176
1237666299433583974,299.99738784,-0.97481346,20.829937
1237666299433583975,299.99545725,-0.97363168,24.264164
